Ie|le
aI|al
Ia|la
Ic|lc
cI|cl
Id|ld
uI|ul
oI|ol
Iu|lu
pI|pl
eI|el
tI|tl
rI|rl
Iy|ly
lI|ll
llttle|little
Iast|last
MuggIes|Muggles
Pastllles|pastilles
Bllmey|Blimey
basllisk|basilisk
chlldren|children
toId|told
llv|liv
fIew|flew
reaIIy|really
DumbIedore|Dumbledore
aIone|alone
pIace|place
mustn't|must not
schooI|school
pIot|plot
Iamp|lamp
hoIe|hole
llne|line
goIfer|golfer
beIong|belong
bIame|blame
speciallst|specialist
exactIy|exactly
suspenslon|suspension
expuIsion|expulsion
brllllant|brilliant
pllIow|pillow
polltician|politician
DudIey|Dudley
Iet|let
llmit|limit
wllI|will
fllI|fill
VoIdemort|Voldemort
. . .|...
